,mean,std,min,max
X1_1,4.153,0.694,3.0,5.0
X1_2,4.041,0.836,2.0,5.0
X1_3,4.296,0.763,3.0,5.0
X1_4,4.143,0.674,3.0,5.0
X2_1,4.031,0.879,2.0,5.0
X2_2,4.173,0.689,3.0,5.0
X2_3,3.755,0.761,2.0,5.0
X2_4,4.173,0.643,3.0,5.0
X3_1,4.378,0.666,3.0,5.0
X3_2,4.163,0.742,2.0,5.0
X3_3,4.388,0.713,3.0,5.0
X3_4,4.398,0.67,3.0,5.0
Y_1,4.204,0.732,3.0,5.0
Y_2,4.133,0.768,3.0,5.0
Y_3,4.337,0.657,3.0,5.0
Y_4,4.061,0.757,2.0,5.0
